ID,rating,roaster,name,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_best_value,type_pod_capsule,type_blend,type_estate,type_peaberry,type_barrel_aged,type_aged,location,origin,roast,review_date,agtron,aroma,acid,body,flavor,aftertaste,region,value_standard,blind_assessment_sentiment,notes_sentiment,bottom_line_sentiment
1340,94,Portrait Coffee,Ethiopia Guji Natural,0,0,0,0,0,0,0,0,0,0,0,"Atlanta, Georgia","Guji Zone, Oromia Region, Southern Ethiopia",Light,8/1/2020,64/83,9,9,9,9,8,africa_arabia,0.052910986,0.9681,0.6124,0.8225
1341,93,Rusty's Hawaiian,Ka’u Classic Medium Roast,0,0,0,0,0,0,0,1,0,0,0,"Pahala, Hawai'i","Ka'u growing district, ""Big Island"" of Hawai’i",Medium,8/1/2020,53/68,9,9,8,9,8,hawaii,0.095743689,0.9118,0.8718,0
1342,92,Kahawa 1893,Safari Blend,0,0,0,0,0,0,1,0,0,0,0,"Berkeley, California","Kisii, southwestern Kenya",Medium-Light,8/1/2020,58/72,9,8,8,9,8,africa_arabia,0.046885013,0.836,0,0.6705
1343,92,Red Bay Coffee,East Fourteenth,0,0,0,0,0,0,0,0,0,0,0,"Oakland, California","Mbeya, Tanzania",Medium,8/1/2020,46/62,8,8,9,9,8,other,0.055850485,0.8658,0.7096,0
1344,92,RND,Kenya Kapsakiso,0,0,0,0,0,0,0,0,0,0,0,"Roanoke, Virginia","Bungoma region, western Kenya",Medium,8/1/2020,47/61,8,9,8,9,8,other,0.055850485,0.8442,0.6461,0.8479
1345,90,Dávila Kafe,Jacmel Haiti,0,0,0,0,0,0,0,0,0,0,0,"Washington, D.C.","Thiotte, Haiti",Medium-Light,8/1/2020,54/68,8,7,8,9,8,caribbean,0.066138733,0.9118,-0.7063,0.8689
1346,93,Southeastern Roastery,Indonesian Sumatra Blend,0,0,0,0,0,0,1,0,0,0,0,"Baltimore, Maryland","Sumatra, Indonesia",Medium-Light,8/1/2020,56/70,9,8,9,9,8,asia_pacific,0.052910986,0.8442,0.8442,0.8779
1347,92,Dr. Bean's Coffee Roasters,Colombia Huila Geisha Las Mieles,0,0,0,0,0,0,0,0,0,0,0,"Memphis, Tennessee","Huila, Colombia",Light,8/1/2020,61/86,9,8,8,9,8,south_america,0.135216964,0.9201,0,0.5267
1348,93,Paradise Roasters,Costa Rica Coffea Diversa Washed Geisha,0,0,0,0,0,0,0,1,0,0,0,"Minneapolis, Minnesota","Biollet, Costa Rica",Medium-Light,8/1/2020,54/72,9,9,8,9,8,central_america,0.176193584,0.8885,0.8467,0.9022
1349,94,Conscious Cup Coffee Roasters,Guatemala Bella Carmona,0,0,0,0,0,0,0,1,0,0,0,"Crystal Lake, Illinois","Antigua, Guatemala",Medium-Light,8/1/2020,58/74,9,9,9,9,8,central_america,0.055850485,0.8885,0,0.872
